periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-05-03,"Asistencias y votaciones de la sesión del 03-05-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C4F2F265E8DE2722052589AA005ED3EC/$FILE/Asis_vot_OFICIAL_03-05-23.pdf,Asis_vot_OFICIAL_03-05-23.pdf,7,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-04-27,"Asistencias y votaciones de la sesión del 27-04-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CFE5CD65B32BD9D4052589AA005EBF4F/$FILE/Asis_vot_OFICIAL_27-04-2023.pdf,Asis_vot_OFICIAL_27-04-2023.pdf,61,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-04-13,"Asistencias y votaciones de la sesión del 13-04-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/BC4178D0A2AA9C4E0525899700524FBA/$FILE/Asis_vot_OFICIAL_13-04-2023.pdf,Asis_vot_OFICIAL_13-04-2023.pdf,59,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-04-12,"Asistencias y votaciones de la sesión del 12-04-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DC32BD6E02A64F9705258997005240D5/$FILE/Asis_vot_OFICIAL_12-04-2023.pdf,Asis_vot_OFICIAL_12-04-2023.pdf,29,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-04-04,"Asistencias y votaciones de la sesión del 04-04-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8A1845549C2019850525898F004EA389/$FILE/Asis_vot_OFICIAL_04-04-2023.pdf,Asis_vot_OFICIAL_04-04-2023.pdf,24,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-03-30,"Asistencias y votaciones de la sesión del 30-03-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/799A44E3316E7B0205258987004FDA10/$FILE/Asis_vot_OFICIAL_30-03-23.pdf,Asis_vot_OFICIAL_30-03-23.pdf,15,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-03-29,"Asistencias y votaciones de la sesión del 29-03-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F62E5E319095DDC305258987005B609B/$FILE/Asis_vot_OFICIAL_29-03-2023.pdf,Asis_vot_OFICIAL_29-03-2023.pdf,40,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-03-23,"Asistencias y votaciones de la sesión del 23-03-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1D406D5B62E63C0505258983005F93EE/$FILE/Asis_vot_OFICIAL_23-03-23.pdf,Asis_vot_OFICIAL_23-03-23.pdf,64,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-03-22,"Asistencias y votaciones de la sesión del 22-03-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/41FF5F5D1A5A636F0525897F005D68CE/$FILE/Asis_vot_OFICIAL_22-03-23.pdf,Asis_vot_OFICIAL_22-03-23.pdf,11,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-03-09,"Asistencias y votaciones de la sesión del 09-03-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/5C4E72B11311732B0525897300575E98/$FILE/Asis_vot_OFICIAL_09-03-23.pdf,Asis_vot_OFICIAL_09-03-23.pdf,51,false
2021-2026,2022-2023,Segunda Legislatura Ordinaria,2023-03-03,"Asistencias y votaciones de la sesión del 03-03-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/37FDBCC72E0FB945052589710055E87F/$FILE/Asis_vot_OFICIAL_09-03-23.pdf,Asis_vot_OFICIAL_09-03-23.pdf,51,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-02-17,"Asistencias y votaciones de la sesión del 17-02-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/8A935656C22738730525895D0070E395/$FILE/Asis_vot_OFICIAL_17-02-23.pdf,Asis_vot_OFICIAL_17-02-23.pdf,28,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-02-10,"Asistencia de la sesión del 10-02-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/B55A3BA6F37A4F63052589580052F14A/$FILE/Asis_OFICIAL_10-02-23.pdf,Asis_OFICIAL_10-02-23.pdf,1,false
2021-2026,2022-2023,Primera Legislatura Ordinaria,2023-02-09,"Asistencias y votaciones de la sesión del 09-02-2023",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/E41CAB9D1235230C052589580052E0EC/$FILE/Asis_vot_OFICIAL_09-02-23.pdf,Asis_vot_OFICIAL_09-02-23.pdf,43,false
